Date,Symbol,Open,High,Low,Close,Volume
2024-03-14,AAPL,171.87,173.26,171.02,171.96,72913500
2024-03-15,AAPL,170.14,171.58,169.27,171.58,121664700
2024-03-18,AAPL,174.52,176.64,172.48,172.68,75604200
2024-03-19,AAPL,173.29,175.55,171.99,175.02,55215200
2024-03-20,AAPL,174.67,177.6,174.04,177.6,53423100
2024-03-21,AAPL,175.99,176.42,169.81,170.34,106181300
2024-03-22,AAPL,170.73,172.01,169.04,171.25,71106600
2024-03-25,AAPL,169.55,170.91,168.43,169.82,54288300
2024-03-26,AAPL,168.98,170.39,168.56,168.69,57388400
2024-03-27,AAPL,169.39,172.56,169.09,172.27,60273300
2024-03-28,AAPL,170.72,171.2,169.49,170.45,65672700
2024-04-01,AAPL,170.16,170.22,168.46,169.01,46240500
2024-04-02,AAPL,168.06,168.32,167.22,167.83,49329500
2024-04-03,AAPL,167.78,169.66,167.57,168.63,47691700
2024-04-04,AAPL,169.27,170.89,167.81,167.81,53704400
2024-04-05,AAPL,168.57,169.37,167.94,168.56,42055200
2024-04-08,AAPL,168.02,168.18,167.23,167.44,37425500
2024-04-09,AAPL,167.69,169.06,167.34,168.65,42451200
2024-04-10,AAPL,167.79,168.07,166.11,166.77,49709300
2024-04-11,AAPL,167.33,174.41,167.15,173.99,91070300
2024-04-12,AAPL,173.21,177.29,173.16,175.49,101593300
2024-04-15,AAPL,174.31,175.57,171.46,171.65,73531800
2024-04-16,AAPL,170.72,172.72,167.26,168.36,73711200
2024-04-17,AAPL,168.59,169.63,166.99,166.99,50901200
2024-04-18,AAPL,167.02,167.63,165.55,166.04,43122900
2024-04-19,AAPL,165.21,165.4,163.1,164.01,67772100
2024-04-22,AAPL,164.53,166.26,163.78,164.84,48116400
2024-04-23,AAPL,164.36,166.05,163.93,165.9,49537800
2024-04-24,AAPL,165.54,168.28,165.21,168.01,48251800
2024-04-25,AAPL,168.51,169.59,167.14,168.87,50558300
2024-04-26,AAPL,168.86,170.31,168.16,168.28,44838400
2024-04-29,AAPL,172.33,174.97,172.06,172.46,68169400
2024-04-30,AAPL,172.29,173.94,168.98,169.31,65934800
2024-05-01,AAPL,168.56,171.67,168.09,168.28,50383100
2024-05-02,AAPL,171.47,172.38,169.86,171.99,94214900
2024-05-03,AAPL,185.53,185.88,181.56,182.28,163224100
2024-05-06,AAPL,181.26,183.09,179.34,180.62,78569700
2024-05-07,AAPL,182.35,183.79,180.23,181.31,77305800
2024-05-08,AAPL,181.75,181.97,180.36,181.64,45057100
2024-05-09,AAPL,181.46,183.55,181.02,183.46,48983000
2024-05-10,AAPL,184.04,184.23,181.28,182.2,50759500
2024-05-13,AAPL,184.58,186.23,183.76,185.41,72044800
2024-05-14,AAPL,186.64,187.42,185.42,186.56,52393600
2024-05-15,AAPL,187.04,189.76,186.5,188.84,70400000
2024-05-16,AAPL,189.58,190.21,188.78,188.96,52845200
2024-05-17,AAPL,188.63,189.92,188.3,188.99,41282900
2024-05-20,AAPL,188.45,191.03,188.13,190.15,44361300
2024-05-21,AAPL,190.2,191.83,190.03,191.45,42309400
2024-05-22,AAPL,191.38,191.92,189.38,190.01,34648500
2024-05-23,AAPL,190.09,190.11,185.76,186.01,51005900
2024-05-24,AAPL,187.94,189.69,187.16,189.1,36294600
